学名,科,属,体重g,頭胴長mm,新生児体重g,集団サイズ,妊娠期間日,離乳日齢,初産日齢,出産間隔日,一腹産子数,最長寿命月,行動圏km2,個体群密度,分布域km2,栄養段階,生息環境幅,平均気温C,月降水量mm
Hapalemur occidentalis,キツネザル科,Hapalemur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20361.36,-999,-999.0,23.8,117.41
Homo sapiens,ヒト科,Homo,58540.63,-999.0,3182.96,-999.0,274.78,725.86,5292.5,958.12,1.0,1470.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hylobates agilis,テナガザル科,Hylobates,5829.08,544.0,-999.0,4.2,-999.0,-999.0,-999.0,-999.0,1.02,528.0,0.19,11.73,140009.66,2,-999.0,25.4,239.8
Hylobates albibarbis,テナガザル科,Hylobates,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,159603.65,-999,-999.0,25.9,243.75
Hylobates klossii,テナガザル科,Hylobates,5822.29,512.79,-999.0,3.0,207.59,-999.0,-999.0,-999.0,1.01,-999.0,0.14,16.62,6044.85,2,1.0,25.9,340.0
Hylobates lar,テナガザル科,Hylobates,5578.61,545.0,398.86,3.2,212.91,725.86,3398.15,983.67,1.01,480.0,0.32,6.6,425651.78,2,-999.0,23.0,172.74
Hylobates moloch,テナガザル科,Hylobates,5860.81,675.6,-999.0,2.15,241.2,-999.0,-999.0,730.0,1.0,-999.0,0.12,6.18,20157.87,2,-999.0,23.8,211.91
Hylobates muelleri,テナガザル科,Hylobates,5909.81,545.0,-999.0,3.2,206.7,-999.0,-999.0,1095.0,1.02,-999.0,0.26,10.2,511224.13,2,-999.0,24.0,266.53
Hylobates pileatus,テナガザル科,Hylobates,5542.37,542.49,-999.0,3.25,200.16,635.13,-999.0,-999.0,1.0,432.0,0.23,23.7,140831.03,2,1.0,26.0,157.6
Indri indri,インドリ科,Indri,8565.48,734.99,-999.0,3.1,136.5,331.34,-999.0,912.5,1.01,-999.0,0.12,10.62,39504.84,1,1.0,20.0,187.11
Lagothrix cana,クモザル科,Lagothrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1686027.51,-999,-999.0,24.3,174.31
Lagothrix lagotricha,クモザル科,Lagothrix,6263.69,536.39,437.09,33.0,223.99,312.66,2766.7,638.75,1.01,360.0,2.82,10.72,797455.26,2,1.0,25.8,226.56
Lagothrix lugens,クモザル科,Lagothrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,129980.9,-999,-999.0,20.6,117.3
Lagothrix poeppigii,クモザル科,Lagothrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,667396.02,-999,-999.0,25.3,212.67
Lemur catta,キツネザル科,Lemur,2626.48,425.0,75.8,16.45,134.74,126.51,866.87,468.41,1.18,360.0,0.05,215.0,61778.7,2,2.0,23.0,62.94
Leontopithecus caissara,オマキザル科,Leontopithecus,604.01,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3822.49,-999,1.0,16.4,148.79
Leontopithecus chrysomelas,オマキザル科,Leontopithecus,572.8,-999.0,-999.0,6.7,-999.0,-999.0,-999.0,-999.0,2.04,-999.0,0.24,8.76,33921.69,-999,1.0,22.4,153.12
Leontopithecus chrysopygus,オマキザル科,Leontopithecus,656.12,-999.0,-999.0,3.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.83,-999.0,50004.81,2,1.0,21.9,127.26
Leontopithecus rosalia,オマキザル科,Leontopithecus,592.52,260.22,51.89,4.5,134.0,75.69,868.7,182.5,1.94,297.6,0.26,4.07,22874.24,2,1.0,20.6,128.32
Lepilemur ankaranensis,イタチキツネザル科,Lepilemur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3823.56,-999,-999.0,25.2,101.31
Lepilemur dorsalis,イタチキツネザル科,Lepilemur,503.85,255.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,1.01,-999.0,-999.0,-999.0,9532.94,1,1.0,20.2,133.28
Lepilemur edwardsi,イタチキツネザル科,Lepilemur,821.58,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.008338038,70.98,23515.8,2,1.0,25.5,114.2
Lepilemur leucopus,イタチキツネザル科,Lepilemur,599.99,-999.0,-999.0,1.0,135.92,121.66,-999.0,-999.0,1.01,103.0,0.001998666,504.99,22985.68,1,1.0,23.1,56.82
Lepilemur microdon,イタチキツネザル科,Lepilemur,952.33,324.99,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,36.05,52152.56,2,1.0,19.7,183.0
Lepilemur mustelinus,イタチキツネザル科,Lepilemur,669.03,-999.0,27.0,1.0,133.45,76.21,677.07,-999.0,1.0,144.0,0.002734203,255.1,41461.51,1,1.0,19.9,173.61
Lepilemur ruficaudatus,イタチキツネザル科,Lepilemur,763.36,-999.0,-999.0,1.0,135.92,119.32,594.95,-999.0,1.02,-999.0,-999.0,260.0,35030.08,1,1.0,23.9,57.89
Lepilemur septentrionalis,イタチキツネザル科,Lepilemur,755.77,280.0,-999.0,1.0,134.99,120.97,-999.0,-999.0,1.0,-999.0,0.007059681,154.26,-999.0,1,1.0,-999.0,-999.0
Lophocebus albigena,オナガザル科,Lophocebus,7418.71,521.55,498.58,16.0,182.64,211.71,1474.6,770.15,1.01,392.4,1.98,14.86,2003865.93,2,1.0,23.8,141.68
Lophocebus aterrimus,オナガザル科,Lophocebus,6510.37,510.0,-999.0,17.5,-999.0,-999.0,-999.0,-999.0,-999.0,321.6,0.34,-999.0,535514.76,-999,-999.0,25.1,157.81
Lophocebus opdenboschi,オナガザル科,Lophocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,112366.23,-999,-999.0,24.3,133.26
Loris lydekkerianus,ロリス科,Loris,254.06,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,481306.48,-999,-999.0,26.4,112.22
Loris tardigradus,ロリス科,Loris,249.22,224.49,11.0,1.0,165.99,167.49,547.5,182.5,1.44,196.8,0.007059681,72.29,9633.79,2,1.0,25.2,147.27
Macaca arctoides,オナガザル科,Macaca,9358.04,599.99,488.99,-999.0,176.6,377.66,1551.25,544.6,1.01,360.0,-999.0,-999.0,1236024.14,1,-999.0,19.6,164.32
Macaca assamensis,オナガザル科,Macaca,8546.89,605.0,-999.0,21.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1383530.1,-999,-999.0,14.2,147.56
Macaca cyclopis,オナガザル科,Macaca,5748.94,560.0,399.86,20.2,161.06,205.24,-999.0,462.33,1.0,-999.0,-999.0,-999.0,12815.11,-999,-999.0,13.0,161.86
Macaca fascicularis,オナガザル科,Macaca,4569.32,515.0,328.76,27.0,164.69,283.53,1410.72,398.45,1.0,456.0,0.46,49.99,2197587.41,2,-999.0,24.9,219.05
Macaca fuscata,オナガザル科,Macaca,10114.76,826.71,501.57,40.65,172.99,265.04,1879.75,486.66,1.02,396.0,1.43,30.19,177385.93,2,2.0,10.2,147.66
Macaca hecki,オナガザル科,Macaca,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21888.19,-999,-999.0,21.9,221.77
Macaca leonina,オナガザル科,Macaca,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,731087.52,-999,-999.0,23.0,168.16
Macaca maura,オナガザル科,Macaca,7290.3,660.0,388.46,-999.0,167.19,497.16,1825.0,669.16,1.01,-999.0,-999.0,20.0,13648.67,-999,-999.0,23.8,231.33
Macaca mulatta,オナガザル科,Macaca,6455.19,555.0,471.47,38.5,166.07,304.16,1460.0,385.5,1.01,432.0,5.91,11.1,6566547.23,1,-999.0,16.9,117.36
Macaca nemestrina,オナガザル科,Macaca,7820.78,535.0,472.92,22.6,171.0,292.6,1430.8,405.07,1.01,411.6,1.75,18.92,1033482.91,1,-999.0,24.7,244.98
Macaca nigra,オナガザル科,Macaca,7359.39,549.99,457.77,35.0,172.43,365.0,1996.55,540.2,1.01,216.0,-999.0,55.63,13015.44,1,-999.0,22.5,230.8
Macaca nigrescens,オナガザル科,Macaca,-999.0,-999.0,-999.0,14.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7280.48,-999,-999.0,22.7,231.2
Macaca ochreata,オナガザル科,Macaca,2745.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,19033.57,-999,-999.0,23.8,244.11
Macaca pagensis,オナガザル科,Macaca,4534.66,450.0,-999.0,-999.0,-999.0,272.2,-999.0,-999.0,1.0,360.0,-999.0,-999.0,2155.21,2,1.0,-999.0,-999.0
Macaca radiata,オナガザル科,Macaca,4999.99,475.0,367.52,33.5,161.56,332.25,1460.0,365.0,1.01,360.0,0.88,8.3,679816.3,-999,-999.0,26.5,93.74
Macaca siberu,オナガザル科,Macaca,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3889.63,-999,-999.0,25.9,340.0
Macaca silenus,オナガザル科,Macaca,5995.25,547.35,416.11,21.0,172.0,362.93,1795.8,510.39,1.01,480.0,0.88,1.01,56995.19,2,3.0,25.3,88.07
Macaca sinica,オナガザル科,Macaca,4655.99,480.0,-999.0,20.1,180.9,-999.0,-999.0,547.5,1.01,420.0,0.4,30.0,66626.48,1,-999.0,25.8,141.67
Macaca sylvanus,オナガザル科,Macaca,11471.53,549.99,449.85,18.3,164.84,210.25,1746.52,431.71,1.02,264.0,2.63,12.5,95331.43,2,2.0,14.8,45.93
Macaca thibetana,オナガザル科,Macaca,10593.06,599.99,499.99,21.0,169.02,451.79,-999.0,730.0,1.01,-999.0,-999.0,-999.0,1232955.48,-999,-999.0,13.0,119.8
Macaca tonkeana,オナガザル科,Macaca,10035.53,599.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0,81338.19,-999,-999.0,20.4,222.91
Mandrillus leucophaeus,オナガザル科,Mandrillus,14253.3,700.0,718.15,17.0,179.22,486.66,1825.0,513.43,1.01,400.8,-999.0,-999.0,106294.34,2,1.0,24.3,203.29
Mandrillus sphinx,オナガザル科,Mandrillus,16685.06,758.94,612.89,13.9,173.99,348.01,1460.0,521.64,1.02,555.96,26.34,21.4,287896.72,2,2.0,24.4,161.18
Microcebus berthae,コビトキツネザル科,Microcebus,33.45,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,236.07,-999,-999.0,24.8,78.01
Microcebus griseorufus,コビトキツネザル科,Microcebus,70.24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17072.63,-999,-999.0,23.9,49.9
Microcebus murinus,コビトキツネザル科,Microcebus,69.0,143.61,4.78,1.0,60.34,40.45,380.2,365.0,2.0,186.0,0.01,461.0,122051.83,2,1.0,24.1,85.12
Microcebus myoxinus,コビトキツネザル科,Microcebus,31.23,141.42,-999.0,1.0,59.99,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,2721.78,2,1.0,24.8,82.26
Microcebus ravelobensis,コビトキツネザル科,Microcebus,58.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1362.43,-999,-999.0,26.7,129.99
Microcebus rufus,コビトキツネザル科,Microcebus,48.39,143.61,6.5,1.0,59.99,40.0,-999.0,-999.0,2.52,144.0,0.01,167.8,105086.84,2,1.0,20.0,171.44
Microcebus sambiranensis,コビトキツネザル科,Microcebus,49.06,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,134.75,-999,-999.0,23.4,146.5
Microcebus tavaratra,コビトキツネザル科,Microcebus,68.01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,198.5,-999,-999.0,24.7,105.98
Miopithecus ogouensis,オナガザル科,Miopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,446721.33,-999,-999.0,24.3,160.61
Miopithecus talapoin,オナガザル科,Miopithecus,1248.86,354.99,179.04,91.2,164.38,178.98,1598.7,365.0,1.01,370.8,0.8,42.07,258766.21,2,1.0,23.2,104.31
Mirza coquereli,コビトキツネザル科,Mirza,326.5,231.84,12.92,1.0,88.58,136.0,532.9,365.0,1.71,183.6,0.03,107.17,58761.86,2,1.0,23.9,92.48
Nasalis larvatus,オナガザル科,Nasalis,12265.65,647.49,450.0,11.25,165.04,211.75,1642.5,547.5,1.02,252.0,1.4,8.99,574819.55,1,2.0,25.0,257.08
Nomascus concolor,テナガザル科,Nomascus,6410.47,545.0,-999.0,4.0,205.81,635.13,3285.0,821.25,1.01,529.2,1.05,6.17,191956.23,2,1.0,17.3,119.62
Nomascus gabriellae,テナガザル科,Nomascus,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,88851.07,-999,-999.0,24.9,142.76
Nomascus hainanus,テナガザル科,Nomascus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15875.47,-999,-999.0,21.8,117.65
Nomascus leucogenys,テナガザル科,Nomascus,7320.0,545.0,497.33,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,194572.77,-999,-999.0,19.1,123.41
Nomascus siki,テナガザル科,Nomascus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,83883.77,-999,-999.0,22.7,196.94
Nycticebus bengalensis,ロリス科,Nycticebus,1137.36,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1941260.0,-999,-999.0,23.3,164.24
Nycticebus coucang,ロリス科,Nycticebus,924.55,300.0,50.47,1.0,191.09,181.21,932.57,365.0,1.12,318.0,-999.0,20.0,1504921.1,2,1.0,24.9,237.29
Nycticebus pygmaeus,ロリス科,Nycticebus,342.32,-999.0,19.89,1.0,185.42,-999.0,-999.0,-999.0,1.75,-999.0,-999.0,-999.0,262116.82,-999,-999.0,21.1,149.9
Oreonax flavicauda,クモザル科,Oreonax,8229.12,550.38,-999.0,9.1,225.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,6.46,33168.59,1,2.0,16.5,127.89
Otolemur crassicaudatus,ガラゴ科,Otolemur,1206.61,307.0,46.57,3.5,131.04,124.62,799.35,365.0,1.14,225.6,0.06,87.99,4121059.44,2,-999.0,22.0,87.09
Otolemur garnettii,ガラゴ科,Otolemur,811.17,-999.0,49.21,1.0,132.24,139.2,576.7,215.95,1.02,204.0,0.12,38.0,781284.4,2,-999.0,23.6,67.92
Otolemur monteiri,ガラゴ科,Otolemur,1577.16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.1,-999.0,-999.0,-999.0,2353122.58,-999,-999.0,21.6,98.75
Pan paniscus,ヒト科,Pan,35119.95,753.43,1399.53,85.0,235.24,1081.31,-999.0,1715.5,1.01,576.0,27.93,2.0,412936.11,2,2.0,25.0,161.12
Pan troglodytes,ヒト科,Pan,45000.0,796.09,1745.02,50.0,231.49,1260.81,5073.5,1825.0,1.05,720.0,10.85,1.63,1898947.6,2,2.0,24.2,149.72
Papio anubis,オナガザル科,Papio,17728.56,-999.0,947.31,40.0,178.96,596.6,1642.5,752.81,1.01,302.4,4.83,10.8,5597000.95,-999,-999.0,24.3,98.24
Papio cynocephalus,オナガザル科,Papio,15822.15,-999.0,709.88,48.2,172.99,450.42,2007.5,669.16,1.01,540.0,14.95,5.86,3953480.36,1,-999.0,23.0,86.42
Papio hamadryas,オナガザル科,Papio,14007.08,675.0,890.0,36.9,180.0,363.96,1919.9,608.33,1.01,450.0,17.37,2.1,639689.34,1,-999.0,21.6,45.94
Papio papio,オナガザル科,Papio,18026.05,-999.0,600.38,-999.0,184.42,-999.0,-999.0,423.4,1.01,480.0,-999.0,11.07,205349.12,-999,-999.0,26.3,170.11
Papio ursinus,オナガザル科,Papio,17729.44,-999.0,599.99,47.0,185.92,877.09,1339.55,882.08,1.01,540.0,9.12,2.77,2566298.35,1,-999.0,18.5,41.9
Perodicticus potto,ロリス科,Perodicticus,1081.81,320.0,37.16,1.0,193.0,149.15,750.07,354.05,1.09,312.0,0.11,8.47,4965957.99,2,1.0,24.4,139.0
Phaner electromontis,コビトキツネザル科,Phaner,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2890.84,-999,-999.0,25.4,98.77
Phaner furcifer,コビトキツネザル科,Phaner,409.87,261.24,-999.0,1.0,174.46,-999.0,-999.0,-999.0,1.01,144.0,0.02,500.24,6525.13,2,1.0,22.3,176.31
Phaner pallescens,コビトキツネザル科,Phaner,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,43081.65,-999,-999.0,24.4,83.91
Phaner parienti,コビトキツネザル科,Phaner,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7212.36,-999,-999.0,20.8,140.0
Piliocolobus badius,オナガザル科,Piliocolobus,8430.4,574.45,-999.0,34.0,151.41,783.93,1489.2,660.65,1.0,-999.0,0.42,130.65,590235.33,2,1.0,26.1,161.46
Piliocolobus foai,オナガザル科,Piliocolobus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1382696.63,-999,-999.0,23.1,129.19
Piliocolobus gordonorum,オナガザル科,Piliocolobus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,28144.75,-999,-999.0,23.4,73.76
Piliocolobus kirkii,オナガザル科,Piliocolobus,7158.29,574.45,-999.0,33.6,165.0,-999.0,-999.0,-999.0,1.01,-999.0,0.42,-999.0,1573.03,1,1.0,-999.0,-999.0
Piliocolobus pennantii,オナガザル科,Piliocolobus,10896.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,34938.83,-999,-999.0,25.4,159.81
Piliocolobus preussi,オナガザル科,Piliocolobus,8865.71,579.65,-999.0,40.0,195.0,-999.0,-999.0,-999.0,1.01,-999.0,0.39,-999.0,62033.7,1,2.0,24.2,227.62
Piliocolobus rufomitratus,オナガザル科,Piliocolobus,8030.75,560.0,-999.0,24.5,195.0,-999.0,-999.0,-999.0,1.01,-999.0,0.05,186.44,26952.75,1,1.0,26.8,61.11
Piliocolobus tephrosceles,オナガザル科,Piliocolobus,-999.0,-999.0,-999.0,34.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.93,300.0,125129.72,-999,-999.0,20.6,98.87
Piliocolobus tholloni,オナガザル科,Piliocolobus,-999.0,570.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,465214.49,-999,-999.0,25.2,159.66
Pithecia aequatorialis,サキ科,Pithecia,2375.91,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,178.8,-999.0,-999.0,113679.06,1,1.0,27.1,263.1
Pithecia albicans,サキ科,Pithecia,2800.07,394.27,-999.0,4.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.39,80794.37,-999,-999.0,26.3,176.07
Pithecia irrorata,サキ科,Pithecia,2308.17,399.39,-999.0,4.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.3,1135691.52,-999,-999.0,25.0,176.67
Pithecia monachus,サキ科,Pithecia,2109.55,411.8,119.85,2.5,-999.0,-999.0,-999.0,-999.0,1.02,295.2,-999.0,8.0,2272018.67,2,1.0,25.5,193.57
Pithecia pithecia,サキ科,Pithecia,1667.19,346.44,-999.0,2.7,161.13,113.15,759.2,448.03,1.01,248.4,0.04,4.19,1037797.75,1,1.0,25.4,156.99
Pongo abelii,ヒト科,Pongo,39696.12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16756.21,-999,-999.0,22.4,140.16
Pongo pygmaeus,ヒト科,Pongo,53408.29,890.0,1644.2,1.0,259.42,1088.8,3591.6,2007.5,1.07,720.0,3.88,2.0,245264.03,2,2.0,23.8,258.7
Presbytis chrysomelas,オナガザル科,Presbytis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,74224.44,-999,-999.0,24.2,284.35
Presbytis comata,オナガザル科,Presbytis,6550.07,510.0,-999.0,7.05,-999.0,-999.0,-999.0,-999.0,1.01,-999.0,0.13,25.68,42000.55,1,1.0,24.4,217.85
Presbytis femoralis,オナガザル科,Presbytis,7026.91,515.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.07,-999.0,154945.76,-999,-999.0,25.8,202.31
Presbytis frontata,オナガザル科,Presbytis,6096.6,510.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,203400.02,-999,-999.0,24.1,249.94
Presbytis hosei,オナガザル科,Presbytis,6277.78,-999.0,-999.0,7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.2,4.42,196668.5,-999,-999.0,23.7,283.13
Presbytis melalophos,オナガザル科,Presbytis,6439.12,504.99,-999.0,14.0,-999.0,-999.0,-999.0,-999.0,1.01,192.0,0.12,59.34,130402.58,1,-999.0,24.7,278.5
Presbytis natunae,オナガザル科,Presbytis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1445.56,-999,-999.0,26.8,261.0
Presbytis potenziani,オナガザル科,Presbytis,6449.53,510.0,-999.0,3.7,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,0.12,14.8,6044.85,-999,-999.0,25.9,340.0
Presbytis rubicunda,オナガザル科,Presbytis,6348.53,499.99,-999.0,6.5,-999.0,-999.0,-999.0,-999.0,1.01,-999.0,0.5,19.27,674127.71,1,-999.0,24.3,259.49
Presbytis siamensis,オナガザル科,Presbytis,5895.06,510.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,87550.36,-999,-999.0,25.4,214.58
Presbytis thomasi,オナガザル科,Presbytis,6689.99,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.09,27.0,49763.07,-999,-999.0,25.1,145.84
Procolobus verus,オナガザル科,Procolobus,3977.86,459.99,-999.0,6.3,167.84,-999.0,-999.0,-999.0,1.02,-999.0,0.17,18.6,130901.22,1,-999.0,25.3,186.89
Prolemur simus,キツネザル科,Prolemur,2030.41,370.0,-999.0,7.5,140.0,-999.0,-999.0,-999.0,1.0,144.0,0.62,-999.0,4564.82,2,2.0,18.9,174.64
Propithecus coquereli,インドリ科,Propithecus,4189.27,-999.0,102.45,5.5,140.99,180.96,1533.0,365.0,1.0,-999.0,-999.0,-999.0,7668.04,-999,-999.0,25.1,134.79
Propithecus deckenii,インドリ科,Propithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,29372.01,-999,-999.0,24.5,111.93
Propithecus diadema,インドリ科,Propithecus,6568.99,501.74,134.99,4.95,152.08,256.27,1553.07,745.2,1.01,-999.0,0.21,5.65,39817.06,1,2.0,19.8,183.83
Propithecus edwardsi,インドリ科,Propithecus,6573.27,-999.0,-999.0,6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12906.49,-999,-999.0,18.3,167.26
Propithecus perrieri,インドリ科,Propithecus,-999.0,-999.0,-999.0,4.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,661.89,-999,-999.0,25.2,90.5
Propithecus tattersalli,インドリ科,Propithecus,3531.39,475.0,97.47,4.1,-999.0,152.13,1642.5,-999.0,-999.0,-999.0,0.06,65.0,563.17,1,2.0,25.2,104.49
Propithecus verreauxi,インドリ科,Propithecus,3588.26,472.49,102.65,6.3,149.77,177.83,1668.05,365.0,1.02,247.2,0.03,150.0,65373.06,1,1.0,23.5,58.13
Pseudopotto martini,ロリス科,Pseudopotto,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pygathrix cinerea,オナガザル科,Pygathrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14272.32,-999,-999.0,22.2,180.64
Pygathrix nemaeus,オナガザル科,Pygathrix,9411.1,623.37,191.94,9.3,182.88,-999.0,-999.0,430.7,1.01,300.0,-999.0,-999.0,150210.65,1,-999.0,22.5,189.53
Pygathrix nigripes,オナガザル科,Pygathrix,10333.32,609.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,129519.56,1,-999.0,24.6,158.37
Rhinopithecus avunculus,オナガザル科,Rhinopithecus,9086.19,569.91,-999.0,30.0,200.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,29614.99,-999,2.0,19.1,131.32
Rhinopithecus bieti,オナガザル科,Rhinopithecus,11000.54,718.26,424.72,50.0,170.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.4,2.5,23060.04,2,-999.0,2.6,182.09
Rhinopithecus brelichi,オナガザル科,Rhinopithecus,12267.15,707.14,-999.0,-999.0,200.0,-999.0,-999.0,-999.0,1.0,-999.0,7.41,16.92,34391.58,1,2.0,13.9,114.3
Rhinopithecus roxellana,オナガザル科,Rhinopithecus,13456.8,647.1,-999.0,65.0,199.34,-999.0,-999.0,-999.0,1.0,-999.0,24.28,4.6,311105.7,1,2.0,9.0,73.4
Saguinus bicolor,オマキザル科,Saguinus,465.0,239.99,-999.0,6.7,158.16,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,65246.44,2,1.0,26.2,129.99
Saguinus fuscicollis,オマキザル科,Saguinus,393.99,-999.0,39.18,6.0,148.0,90.1,850.45,293.5,1.83,294.0,0.2,19.49,1978748.26,2,1.0,25.4,196.8
Saguinus geoffroyi,オマキザル科,Saguinus,492.5,-999.0,47.84,6.9,-999.0,-999.0,-999.0,240.9,1.97,-999.0,0.16,5.13,76159.09,2,1.0,25.9,279.43
Saguinus graellsi,オマキザル科,Saguinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,224121.08,-999,-999.0,25.6,233.96
Saguinus imperator,オマキザル科,Saguinus,407.91,-999.0,46.55,5.0,-999.0,-999.0,-999.0,-999.0,-999.0,242.4,0.22,18.39,191381.63,2,1.0,24.9,212.79
