学名,科,属,体重g,頭胴長mm,新生児体重g,集団サイズ,妊娠期間日,離乳日齢,初産日齢,出産間隔日,一腹産子数,最長寿命月,行動圏km2,個体群密度,分布域km2,栄養段階,生息環境幅,平均気温C,月降水量mm
Callithrix manicorensis,オマキザル科,Callithrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18875.99,-999,-999.0,26.1,171.12
Callithrix marcai,オマキザル科,Callithrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44500.24,-999,-999.0,24.4,183.11
Callithrix mauesi,オマキザル科,Callithrix,443.79,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2038.88,2,1.0,26.1,143.49
Callithrix melanura,オマキザル科,Callithrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,543620.62,-999,-999.0,24.3,126.64
Callithrix nigriceps,オマキザル科,Callithrix,401.12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,24958.88,2,1.0,25.7,181.98
Callithrix penicillata,オマキザル科,Callithrix,339.98,-999.0,-999.0,5.9,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,0.01,-999.0,1325473.3,-999,1.0,22.0,117.22
Callithrix pygmaea,オマキザル科,Callithrix,123.94,154.6,14.5,6.0,134.44,90.73,840.41,182.5,1.93,181.2,0.002117904,15.9,1508925.87,2,1.0,25.6,208.53
Callithrix saterei,オマキザル科,Callithrix,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18742.81,-999,-999.0,26.1,164.67
Cebus albifrons,オマキザル科,Cebus,2509.68,384.28,231.92,25.0,158.29,270.32,1467.3,547.5,1.01,528.0,0.53,16.79,3105886.13,2,2.0,25.3,192.99
Cebus apella,オマキザル科,Cebus,2758.38,422.69,231.38,7.9,154.99,263.12,2058.6,657.0,1.05,541.2,0.88,23.77,10768851.82,2,2.0,24.1,154.19
Cebus capucinus,オマキザル科,Cebus,3005.99,377.82,238.36,18.15,161.06,514.07,1460.0,790.83,1.01,657.6,0.35,27.27,431037.87,2,2.0,24.0,216.57
Cebus kaapori,オマキザル科,Cebus,3000.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,83826.99,-999,-999.0,24.8,162.46
Cebus libidinosus,オマキザル科,Cebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,500245.27,-999,-999.0,24.4,115.7
Cebus nigritus,オマキザル科,Cebus,-999.0,435.0,-999.0,9.1,-999.0,-999.0,-999.0,-999.0,1.0,528.0,1.47,-999.0,449987.63,2,2.0,19.0,126.58
Cebus olivaceus,オマキザル科,Cebus,2787.64,404.1,-999.0,11.45,-999.0,725.86,2190.0,792.05,1.01,492.0,1.7,24.79,1484240.05,2,2.0,24.9,155.52
Cebus xanthosternos,オマキザル科,Cebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,62866.63,-999,-999.0,21.7,116.23
Cercocebus agilis,オナガザル科,Cercocebus,7105.62,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1068616.42,-999,-999.0,24.1,138.41
Cercocebus atys,オナガザル科,Cercocebus,6941.24,-999.0,527.17,35.0,165.08,-999.0,-999.0,394.2,1.01,321.6,-999.0,8.85,440620.58,-999,-999.0,25.6,186.09
Cercocebus chrysogaster,オナガザル科,Cercocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,564761.67,-999,-999.0,24.9,151.44
Cercocebus galeritus,オナガザル科,Cercocebus,7077.66,510.0,-999.0,20.35,174.43,-999.0,2372.5,-999.0,1.01,252.0,0.51,70.11,20246.09,1,2.0,27.4,53.99
Cercocebus sanjei,オナガザル科,Cercocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,59607.49,-999,-999.0,24.1,71.58
Cercocebus torquatus,オナガザル科,Cercocebus,7293.07,660.0,-999.0,26.85,168.98,-999.0,1704.55,434.35,1.01,360.0,-999.0,40.15,362869.59,1,-999.0,25.2,175.62
Cercopithecus albogularis,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,32.5,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,0.13,-999.0,1057710.32,2,-999.0,22.7,71.4
Cercopithecus ascanius,オナガザル科,Cercopithecus,3540.24,444.99,371.0,26.3,148.5,146.54,1825.0,1580.45,1.01,339.6,0.16,105.79,3012180.23,2,-999.0,23.7,131.01
Cercopithecus campbelli,オナガザル科,Cercopithecus,3627.73,455.0,-999.0,11.0,180.8,362.93,-999.0,-999.0,1.02,396.0,0.01,-999.0,262404.57,1,-999.0,25.3,226.67
Cercopithecus cephus,オナガザル科,Cercopithecus,3444.88,520.0,337.19,11.0,169.51,362.93,1825.0,-999.0,1.01,276.0,0.24,21.04,898367.43,2,1.0,24.4,149.87
Cercopithecus denti,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,402606.02,-999,-999.0,23.1,140.12
Cercopithecus diana,オナガザル科,Cercopithecus,4358.91,470.0,466.9,24.95,-999.0,362.93,1961.87,365.0,1.01,447.6,1.25,16.47,177249.87,2,-999.0,24.8,237.57
Cercopithecus doggetti,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,53746.06,-999,-999.0,18.8,93.38
Cercopithecus dryas,オナガザル科,Cercopithecus,2784.06,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,151925.19,-999,-999.0,24.9,161.66
Cercopithecus erythrogaster,オナガザル科,Cercopithecus,3444.88,457.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,102343.83,2,1.0,26.3,137.0
Cercopithecus erythrotis,オナガザル科,Cercopithecus,3254.98,435.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,87403.19,2,1.0,24.1,214.26
Cercopithecus hamlyni,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,328372.58,-999,-999.0,22.6,126.88
Cercopithecus kandti,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18131.24,-999,-999.0,17.3,107.83
Cercopithecus lhoesti,オナガザル科,Cercopithecus,5307.47,510.0,-999.0,17.4,-999.0,-999.0,-999.0,485.45,1.0,192.0,-999.0,4.99,451166.22,2,-999.0,22.6,127.13
Cercopithecus lowei,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,271410.7,-999,-999.0,26.1,127.52
Cercopithecus mitis,オナガザル科,Cercopithecus,5041.29,575.0,402.0,16.0,138.39,688.08,2087.8,565.75,1.0,325.2,0.1,70.39,2341818.13,2,-999.0,22.1,109.08
Cercopithecus mona,オナガザル科,Cercopithecus,3980.17,510.0,280.49,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,360.0,-999.0,-999.0,652362.31,-999,-999.0,25.7,135.42
Cercopithecus neglectus,オナガザル科,Cercopithecus,5324.52,510.0,259.95,4.5,172.07,417.62,1704.55,584.0,1.02,315.6,0.06,29.03,2963266.5,2,2.0,24.1,138.29
Cercopithecus nictitans,オナガザル科,Cercopithecus,5256.91,549.99,403.83,16.0,169.51,-999.0,-999.0,-999.0,1.0,276.0,1.15,22.5,2185668.95,2,1.0,24.7,148.27
Cercopithecus petaurista,オナガザル科,Cercopithecus,3233.67,410.0,-999.0,14.0,-999.0,-999.0,-999.0,-999.0,1.02,228.0,-999.0,25.95,619437.28,-999,-999.0,25.9,167.77
Cercopithecus pogonias,オナガザル科,Cercopithecus,3578.27,459.99,337.19,15.0,169.51,-999.0,1825.0,-999.0,1.01,289.2,1.15,19.04,1592652.96,2,1.0,24.5,146.05
Cercopithecus preussi,オナガザル科,Cercopithecus,5132.57,545.0,-999.0,3.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,60552.81,2,-999.0,24.5,234.82
Cercopithecus roloway,オナガザル科,Cercopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,136280.67,-999,-999.0,26.2,124.7
Cercopithecus sclateri,オナガザル科,Cercopithecus,3067.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,30025.23,-999,-999.0,26.0,193.22
Cercopithecus solatus,オナガザル科,Cercopithecus,5256.91,-999.0,-999.0,10.0,-999.0,-999.0,1733.75,547.5,1.01,-999.0,-999.0,-999.0,14715.81,-999,-999.0,24.8,173.49
Cercopithecus wolfi,オナガザル科,Cercopithecus,3255.18,480.0,435.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,1419828.69,-999,-999.0,24.0,141.83
Cheirogaleus adipicaudatus,コビトキツネザル科,Cheirogaleus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,40707.46,-999,-999.0,22.0,73.64
Cheirogaleus crossleyi,コビトキツネザル科,Cheirogaleus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,47826.13,-999,-999.0,18.8,180.87
Cheirogaleus major,コビトキツネザル科,Cheirogaleus,446.02,225.0,18.08,1.0,70.0,47.14,-999.0,-999.0,2.26,180.0,0.02,67.99,112950.33,2,1.0,20.3,167.63
Cheirogaleus medius,コビトキツネザル科,Cheirogaleus,196.76,225.0,14.65,1.0,61.79,60.65,472.67,365.0,2.04,231.6,0.02,221.44,122848.88,2,1.0,24.0,85.08
Cheirogaleus minusculus,コビトキツネザル科,Cheirogaleus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,805.63,-999,-999.0,15.2,144.48
Cheirogaleus ravus,コビトキツネザル科,Cheirogaleus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2240.1,-999,-999.0,22.2,277.97
Cheirogaleus sibreei,コビトキツネザル科,Cheirogaleus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12712.93,-999,-999.0,16.9,154.45
Chiropotes albinasus,サキ科,Chiropotes,2793.21,440.0,-999.0,22.5,157.67,-999.0,-999.0,-999.0,1.01,204.0,1.98,6.57,660974.43,1,1.0,24.9,175.97
Chiropotes chiropotes,サキ科,Chiropotes,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Chiropotes israelita,サキ科,Chiropotes,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Chiropotes satanas,サキ科,Chiropotes,2967.27,416.26,-999.0,14.4,157.67,-999.0,-999.0,-999.0,1.0,216.0,1.48,15.6,-999.0,1,1.0,-999.0,-999.0
Chiropotes utahickae,サキ科,Chiropotes,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Chlorocebus aethiops,オナガザル科,Chlorocebus,3695.99,560.0,-999.0,-999.0,-999.0,217.76,1733.75,-999.0,-999.0,379.2,-999.0,-999.0,994897.54,-999,-999.0,21.7,70.92
Chlorocebus cynosuros,オナガザル科,Chlorocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2692165.36,-999,-999.0,22.3,101.93
Chlorocebus djamdjamensis,オナガザル科,Chlorocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9779.34,-999,-999.0,8.0,65.37
Chlorocebus pygerythrus,オナガザル科,Chlorocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5187827.21,-999,-999.0,21.8,65.48
Chlorocebus sabaeus,オナガザル科,Chlorocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1390955.98,-999,-999.0,27.0,108.99
Chlorocebus tantalus,オナガザル科,Chlorocebus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4097933.56,-999,-999.0,25.4,95.1
Colobus angolensis,オナガザル科,Colobus,8990.31,564.99,-999.0,10.9,-999.0,-999.0,-999.0,-999.0,1.01,-999.0,-999.0,-999.0,3019802.04,1,-999.0,23.3,122.91
Colobus guereza,オナガザル科,Colobus,9925.88,625.0,444.92,7.6,169.02,387.79,1916.25,486.66,1.0,294.0,0.17,99.2,3994317.48,1,1.0,23.2,108.92
Colobus polykomos,オナガザル科,Colobus,8797.29,625.0,489.89,10.2,172.69,213.78,3102.5,442.41,1.0,366.0,0.14,23.5,526083.9,1,-999.0,25.7,180.76
Colobus satanas,オナガザル科,Colobus,9055.32,629.68,-999.0,15.5,192.76,-999.0,-999.0,-999.0,0.99,-999.0,0.44,26.57,353215.29,1,1.0,24.1,165.46
Colobus vellerosus,オナガザル科,Colobus,7700.18,635.0,-999.0,16.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,0.29,-999.0,502614.85,-999,-999.0,26.8,106.72
Daubentonia madagascariensis,アイアイ科,Daubentonia,2731.37,400.0,121.79,1.0,166.48,197.7,1277.5,760.41,1.01,291.6,0.06,39.79,141979.73,2,2.0,21.7,149.13
